timestamp_us,x_m,y_m,z_m,arming_state,nav_state,failsafe,phase
1757526922299350,0.000,0.000,0.000,0,0,0,WaitPose
1757526922400110,0.000,0.000,0.000,0,0,0,WaitPose
1757526922501003,0.000,0.000,0.000,0,0,0,WaitPose
1757526922601808,0.000,0.000,0.000,0,0,0,WaitPose
1757526922702697,0.000,0.000,0.000,0,0,0,WaitPose
1757526922803646,0.000,0.000,0.000,0,0,0,WaitPose
1757526922904626,0.000,0.000,0.000,0,0,0,WaitPose
1757526923005703,0.000,0.000,0.000,0,0,0,WaitPose
1757526923106537,0.000,0.000,0.000,0,0,0,WaitPose
1757526923207295,0.000,0.000,0.000,0,0,0,WaitPose
1757526923308255,0.000,0.000,0.000,0,0,0,WaitPose
1757526923409421,0.000,0.000,0.000,0,0,0,WaitPose
1757526923510192,0.000,0.000,0.000,0,0,0,WaitPose
1757526923611202,0.000,0.000,0.000,0,0,0,WaitPose
1757526923712220,0.000,0.000,0.000,0,0,0,WaitPose
1757526923813281,0.000,0.000,0.000,0,0,0,WaitPose
1757526923914107,0.000,0.000,0.000,0,0,0,WaitPose
1757526924015437,0.000,0.000,0.000,0,0,0,WaitPose
1757526924116390,0.000,0.000,0.000,0,0,0,WaitPose
1757526924217393,0.000,0.000,0.000,0,0,0,WaitPose
1757526924318290,0.000,0.000,0.000,0,0,0,WaitPose
1757526924419337,0.000,0.000,0.000,0,0,0,WaitPose
1757526924520253,0.000,0.000,0.000,0,0,0,WaitPose
1757526924621120,0.000,0.000,0.000,0,0,0,WaitPose
1757526924721926,0.000,0.000,0.000,0,0,0,WaitPose
1757526924823110,0.000,0.000,0.000,0,0,0,WaitPose
1757526924923839,0.000,0.000,0.000,0,0,0,WaitPose
1757526925024586,0.000,0.000,0.000,0,0,0,WaitPose
1757526925127046,0.000,0.000,0.000,0,0,0,WaitPose
1757526925227976,0.000,0.000,0.000,0,0,0,WaitPose
1757526925328865,0.000,0.000,0.000,0,0,0,WaitPose
1757526925430023,0.000,0.000,0.000,0,0,0,WaitPose
1757526925530809,0.000,0.000,0.000,0,0,0,WaitPose
1757526925631597,0.000,0.000,0.000,0,0,0,WaitPose
1757526925732573,0.000,0.000,0.000,0,0,0,WaitPose
1757526925833438,0.000,0.000,0.000,0,0,0,WaitPose
1757526925934330,0.000,0.000,0.000,0,0,0,WaitPose
